id,item_group_id,sku,gtin,mpn,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,gender,age_group,color,size
69238461c3ca912f0811738d,69238461c3ca912f0811738d,BAF-VAN-39-F92C,GTIN-69238461c3ca912f0811738d,MPN-69238461c3ca912f0811738d,Vans old skool lo top dark blue 💙,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2650.00 PKR,https://kicks-kraze.com/product?product_id=69238461c3ca912f0811738d,https://kickskraze.b-cdn.net/kickskraze/o9Dl1Qabhw.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,39
6920bed2c3ca912f080d0fdb,6920bed2c3ca912f080d0fdb,BAF-PUM-42-3164,GTIN-6920bed2c3ca912f080d0fdb,MPN-6920bed2c3ca912f080d0fdb,PUMA × THE BROOKLYN CIRCUS Clyde,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2699.00 PKR,https://kicks-kraze.com/product?product_id=6920bed2c3ca912f080d0fdb,https://kickskraze.b-cdn.net/kickskraze/qVcAiXQmA3.webp,Puma,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,42
6920bde8c3ca912f080cf8a4,6920bde8c3ca912f080cf8a4,BAF-CON-39-E229,GTIN-6920bde8c3ca912f080cf8a4,MPN-6920bde8c3ca912f080cf8a4,"Chuck 70 | Neon Yellow | All Star Converse","100% authentic original product — not replica, fake or first copy.",out of stock,used,3199.00 PKR,https://kicks-kraze.com/product?product_id=6920bde8c3ca912f080cf8a4,https://kickskraze.b-cdn.net/kickskraze/LltIszZyRP.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,39
6920bd27c3ca912f080ce171,6920bd27c3ca912f080ce171,BAF-VAN-45-5FFA,GTIN-6920bd27c3ca912f080ce171,MPN-6920bd27c3ca912f080ce171,"Vans | Old Skool (Black, Grey & White)","100% authentic original product — not replica, fake or first copy.",out of stock,used,2699.00 PKR,https://kicks-kraze.com/product?product_id=6920bd27c3ca912f080ce171,https://kickskraze.b-cdn.net/kickskraze/CNw3ehF1nW.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,45
6920bc53c3ca912f080cca05,6920bc53c3ca912f080cca05,BAF-VAN-46-A9A3,GTIN-6920bc53c3ca912f080cca05,MPN-6920bc53c3ca912f080cca05,"Vans | Slippers | Checkers | Brown","100% authentic original product — not replica, fake or first copy.",in stock,used,2799.00 PKR,https://kicks-kraze.com/product?product_id=6920bc53c3ca912f080cca05,https://kickskraze.b-cdn.net/kickskraze/K2Q1kIFpDF.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear > men's shoes > fashion sneakers,1,male,all ages,,46
6920bba0c3ca912f080cb2f8,6920bba0c3ca912f080cb2f8,BAF-VAN-41-A86D,GTIN-6920bba0c3ca912f080cb2f8,MPN-6920bba0c3ca912f080cb2f8,"Vans | Slippers | Checkers | Black & White","100% authentic original product — not replica, fake or first copy.",out of stock,used,3399.00 PKR,https://kicks-kraze.com/product?product_id=6920bba0c3ca912f080cb2f8,https://kickskraze.b-cdn.net/kickskraze/lcdyfXUm9a.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,41
6920b99ac3ca912f080c8456,6920b99ac3ca912f080c8456,BAF-VAN-37-D7BF,GTIN-6920b99ac3ca912f080c8456,MPN-6920b99ac3ca912f080c8456,"Vans | Black & White | Old Skool","100% authentic original product — not replica, fake or first copy.",out of stock,new,2999.00 PKR,https://kicks-kraze.com/product?product_id=6920b99ac3ca912f080c8456,https://kickskraze.b-cdn.net/kickskraze/Mpc6T5bb7o.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,37
6920b8dbc3ca912f080c6d3a,6920b8dbc3ca912f080c6d3a,BAF-VAN-40-D928,GTIN-6920b8dbc3ca912f080c6d3a,MPN-6920b8dbc3ca912f080c6d3a,"Vans Black & White | Rose | Limited Edition ","100% authentic original product — not replica, fake or first copy.",in stock,used,2499.00 PKR,https://kicks-kraze.com/product?product_id=6920b8dbc3ca912f080c6d3a,https://kickskraze.b-cdn.net/kickskraze/K0AnblWk5Q.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,40
6920b42ec3ca912f080c5536,6920b42ec3ca912f080c5536,BAF-VAN-42.5-9351,GTIN-6920b42ec3ca912f080c5536,MPN-6920b42ec3ca912f080c5536,"Vans | Blue & White | Old Skool","100% authentic original product — not replica, fake or first copy.",in stock,used,2799.00 PKR,https://kicks-kraze.com/product?product_id=6920b42ec3ca912f080c5536,https://kickskraze.b-cdn.net/kickskraze/eLN-uq9OPD.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,42.5
6920b3cdc3ca912f080c3e30,6920b3cdc3ca912f080c3e30,BAF-CON-36.5-13D7,GTIN-6920b3cdc3ca912f080c3e30,MPN-6920b3cdc3ca912f080c3e30,"Converse | High heels | Green & White | Chuck Taylor","100% authentic original product — not replica, fake or first copy.",in stock,used,2650.00 PKR,https://kicks-kraze.com/product?product_id=6920b3cdc3ca912f080c3e30,https://kickskraze.b-cdn.net/kickskraze/FL0v3Pzns5.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear > women's shoes > fashion sneakers,1,female,all ages,,36.5
6920b348c3ca912f080c272b,6920b348c3ca912f080c272b,BAF-VAN-39-0375,GTIN-6920b348c3ca912f080c272b,MPN-6920b348c3ca912f080c272b,"Vans | Old Skool | Rose Design | Limited Edition ","100% authentic original product — not replica, fake or first copy.",in stock,used,2599.00 PKR,https://kicks-kraze.com/product?product_id=6920b348c3ca912f080c272b,https://kickskraze.b-cdn.net/kickskraze/6UJpm9v0Ww.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,39
6920b2b9c3ca912f080c1035,6920b2b9c3ca912f080c1035,BAF-VAN-38-C8A1,GTIN-6920b2b9c3ca912f080c1035,MPN-6920b2b9c3ca912f080c1035,"Vans | High Heels | Old Skool | Black & White","100% authentic original product — not replica, fake or first copy.",out of stock,used,2999.00 PKR,https://kicks-kraze.com/product?product_id=6920b2b9c3ca912f080c1035,https://kickskraze.b-cdn.net/kickskraze/R4ep5KmSHr.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,38
6920b256c3ca912f080bf94e,6920b256c3ca912f080bf94e,BAF-VAN-42.5-81B2,GTIN-6920b256c3ca912f080bf94e,MPN-6920b256c3ca912f080bf94e,"Vans | Old Skool | Blue & White","100% authentic original product — not replica, fake or first copy.",out of stock,used,3199.00 PKR,https://kicks-kraze.com/product?product_id=6920b256c3ca912f080bf94e,https://kickskraze.b-cdn.net/kickskraze/VEtbpyv_R6.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,42.5
6920b1e1c3ca912f080be258,6920b1e1c3ca912f080be258,BAF-VAN-44-EBA5,GTIN-6920b1e1c3ca912f080be258,MPN-6920b1e1c3ca912f080be258,"Vans | Lemon | Old Skool","100% authentic original product — not replica, fake or first copy.",in stock,used,2499.00 PKR,https://kicks-kraze.com/product?product_id=6920b1e1c3ca912f080be258,https://kickskraze.b-cdn.net/kickskraze/x-HhMBy13p.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,44
6920b176c3ca912f080bcb4a,6920b176c3ca912f080bcb4a,BAF-CON-41-2B37,GTIN-6920b176c3ca912f080bcb4a,MPN-6920b176c3ca912f080bcb4a,"Chuck Taylor | Black & White | Converse","100% authentic original product — not replica, fake or first copy.",out of stock,used,2999.00 PKR,https://kicks-kraze.com/product?product_id=6920b176c3ca912f080bcb4a,https://kickskraze.b-cdn.net/kickskraze/83w4-n8OnT.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,41
6920b0efc3ca912f080bb45a,6920b0efc3ca912f080bb45a,BAF-CON-40-6A05,GTIN-6920b0efc3ca912f080bb45a,MPN-6920b0efc3ca912f080bb45a,"Chuck Taylor | Black & White | High Top","100% authentic original product — not replica, fake or first copy.",out of stock,used,2199.00 PKR,https://kicks-kraze.com/product?product_id=6920b0efc3ca912f080bb45a,https://kickskraze.b-cdn.net/kickskraze/7LtXcCYcgg.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,40
6920b05cc3ca912f080b9d20,6920b05cc3ca912f080b9d20,BAF-VAN-44.5-6B95,GTIN-6920b05cc3ca912f080b9d20,MPN-6920b05cc3ca912f080b9d20,"Vans | Blue & White","100% authentic original product — not replica, fake or first copy.",in stock,used,1999.00 PKR,https://kicks-kraze.com/product?product_id=6920b05cc3ca912f080b9d20,https://kickskraze.b-cdn.net/kickskraze/Jl0BcY1iu1.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,44.5
6920afc5c3ca912f080b85d9,6920afc5c3ca912f080b85d9,BAF-CON-45-3D33,GTIN-6920afc5c3ca912f080b85d9,MPN-6920afc5c3ca912f080b85d9,"Converse | White ","100% authentic original product — not replica, fake or first copy.",in stock,used,2599.00 PKR,https://kicks-kraze.com/product?product_id=6920afc5c3ca912f080b85d9,https://kickskraze.b-cdn.net/kickskraze/fiRn04Yd_w.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,45
6920af50c3ca912f080b6eda,6920af50c3ca912f080b6eda,BAF-VAN-42-F449,GTIN-6920af50c3ca912f080b6eda,MPN-6920af50c3ca912f080b6eda,"Vans | Blue & White | Special Edition ","100% authentic original product — not replica, fake or first copy.",in stock,used,2699.00 PKR,https://kicks-kraze.com/product?product_id=6920af50c3ca912f080b6eda,https://kickskraze.b-cdn.net/kickskraze/ZTCndhtPvj.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,42
6920aec2c3ca912f080b57c6,6920aec2c3ca912f080b57c6,BAF-CON-45-6354,GTIN-6920aec2c3ca912f080b57c6,MPN-6920aec2c3ca912f080b57c6,"Converse | One Star | Red & White","100% authentic original product — not replica, fake or first copy.",out of stock,used,2699.00 PKR,https://kicks-kraze.com/product?product_id=6920aec2c3ca912f080b57c6,https://kickskraze.b-cdn.net/kickskraze/AdrtOXAwDv.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear > men's shoes > fashion sneakers,0,male,all ages,,45
6920ae41c3ca912f080b40a9,6920ae41c3ca912f080b40a9,BAF-VAN-42-A84B,GTIN-6920ae41c3ca912f080b40a9,MPN-6920ae41c3ca912f080b40a9,"Vans Ward | Blue & White","100% authentic original product — not replica, fake or first copy.",in stock,used,2599.00 PKR,https://kicks-kraze.com/product?product_id=6920ae41c3ca912f080b40a9,https://kickskraze.b-cdn.net/kickskraze/wVTxJubKYD.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,42
6920add9c3ca912f080b29de,6920add9c3ca912f080b29de,BAF-VAN-41-1C8B,GTIN-6920add9c3ca912f080b29de,MPN-6920add9c3ca912f080b29de,"Vans Ward | Black & White","100% authentic original product — not replica, fake or first copy.",in stock,used,2999.00 PKR,https://kicks-kraze.com/product?product_id=6920add9c3ca912f080b29de,https://kickskraze.b-cdn.net/kickskraze/4Ccq7j91Lq.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,41
6920ad38c3ca912f080b131b,6920ad38c3ca912f080b131b,BAF-CON-44.5-3608,GTIN-6920ad38c3ca912f080b131b,MPN-6920ad38c3ca912f080b131b,"Converse | Smoky Grey | Chuck Taylor","100% authentic original product — not replica, fake or first copy.",out of stock,used,3199.00 PKR,https://kicks-kraze.com/product?product_id=6920ad38c3ca912f080b131b,https://kickskraze.b-cdn.net/kickskraze/T9dZHswUTD.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,44.5
6920acc1c3ca912f080afc43,6920acc1c3ca912f080afc43,BAF-CON-39-53E0,GTIN-6920acc1c3ca912f080afc43,MPN-6920acc1c3ca912f080afc43,"Chuck 70 | Red & White | Converse","100% authentic original product — not replica, fake or first copy.",out of stock,used,3299.00 PKR,https://kicks-kraze.com/product?product_id=6920acc1c3ca912f080afc43,https://kickskraze.b-cdn.net/kickskraze/A23kUst7_S.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,39
6920ac4bc3ca912f080ae573,6920ac4bc3ca912f080ae573,BAF-CON-44.5-B1C2,GTIN-6920ac4bc3ca912f080ae573,MPN-6920ac4bc3ca912f080ae573,Converse Black & White ,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2699.00 PKR,https://kicks-kraze.com/product?product_id=6920ac4bc3ca912f080ae573,https://kickskraze.b-cdn.net/kickskraze/cr5CVRmqcH.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,44.5
6920ababc3ca912f080acebc,6920ababc3ca912f080acebc,BAF-CON-39-6BEC,GTIN-6920ababc3ca912f080acebc,MPN-6920ababc3ca912f080acebc,"Chuck Taylor | Pink & White ","100% authentic original product — not replica, fake or first copy.",in stock,used,2799.00 PKR,https://kicks-kraze.com/product?product_id=6920ababc3ca912f080acebc,https://kickskraze.b-cdn.net/kickskraze/_nJ0hbjipJ.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,39
6920aadbc3ca912f080ab7e3,6920aadbc3ca912f080ab7e3,BAF-CON-43-6013,GTIN-6920aadbc3ca912f080ab7e3,MPN-6920aadbc3ca912f080ab7e3,All Star Converse Lo Top  Black & White ,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2700.00 PKR,https://kicks-kraze.com/product?product_id=6920aadbc3ca912f080ab7e3,https://kickskraze.b-cdn.net/kickskraze/a_267qmVUK.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,43
6920aa4cc3ca912f080aa10c,6920aa4cc3ca912f080aa10c,BAF-CON-44-FD31,GTIN-6920aa4cc3ca912f080aa10c,MPN-6920aa4cc3ca912f080aa10c,Converse All Star Hi Top Blue Denim ,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2800.00 PKR,https://kicks-kraze.com/product?product_id=6920aa4cc3ca912f080aa10c,https://kickskraze.b-cdn.net/kickskraze/tyRWu7Degq.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,44
6920a984c3ca912f080a89a5,6920a984c3ca912f080a89a5,BAF-VAN-42.5-874F,GTIN-6920a984c3ca912f080a89a5,MPN-6920a984c3ca912f080a89a5,Vans old skool hi top  Black N White,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2700.00 PKR,https://kicks-kraze.com/product?product_id=6920a984c3ca912f080a89a5,https://kickskraze.b-cdn.net/kickskraze/i3A94v_JVt.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,42.5
6920a8b8c3ca912f080a71c8,6920a8b8c3ca912f080a71c8,BAF-CON-41-1FD6,GTIN-6920a8b8c3ca912f080a71c8,MPN-6920a8b8c3ca912f080a71c8,All Star Converse Hi Top Black &White 🖤🤍,"100% authentic original product — not replica, fake or first copy.",out of stock,used,3300.00 PKR,https://kicks-kraze.com/product?product_id=6920a8b8c3ca912f080a71c8,https://kickskraze.b-cdn.net/kickskraze/5aEoPbQYmY.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,41
6920a83bc3ca912f080a5b19,6920a83bc3ca912f080a5b19,BAF-CON-45-C2A4,GTIN-6920a83bc3ca912f080a5b19,MPN-6920a83bc3ca912f080a5b19,All star converse Blue Hi Top ,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2800.00 PKR,https://kicks-kraze.com/product?product_id=6920a83bc3ca912f080a5b19,https://kickskraze.b-cdn.net/kickskraze/eYy7I26Jx2.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,45
6920a7bcc3ca912f080a4444,6920a7bcc3ca912f080a4444,BAF-CON-45-FF07,GTIN-6920a7bcc3ca912f080a4444,MPN-6920a7bcc3ca912f080a4444,Lo Top Converse Black N White 🤍🖤,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2700.00 PKR,https://kicks-kraze.com/product?product_id=6920a7bcc3ca912f080a4444,https://kickskraze.b-cdn.net/kickskraze/9vsd9Tczcv.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,45
6920a73ac3ca912f080a2da8,6920a73ac3ca912f080a2da8,BAF-CON-44-7D04,GTIN-6920a73ac3ca912f080a2da8,MPN-6920a73ac3ca912f080a2da8,converse one star Hi Top  Leather,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2700.00 PKR,https://kicks-kraze.com/product?product_id=6920a73ac3ca912f080a2da8,https://kickskraze.b-cdn.net/kickskraze/PBGLY6Ci7S.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,44
6920a6a2c3ca912f080a16f5,6920a6a2c3ca912f080a16f5,BAF-CON-41-9125,GTIN-6920a6a2c3ca912f080a16f5,MPN-6920a6a2c3ca912f080a16f5,All Star Converse White red Strip Lo Top ,"100% authentic original product — not replica, fake or first copy.",in stock,used,2500.00 PKR,https://kicks-kraze.com/product?product_id=6920a6a2c3ca912f080a16f5,https://kickskraze.b-cdn.net/kickskraze/rw2OR9aKfd.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,41
6920a61ec3ca912f080a005b,6920a61ec3ca912f080a005b,BAF-CON-40-6422,GTIN-6920a61ec3ca912f080a005b,MPN-6920a61ec3ca912f080a005b,All Star Converse Platform High Sole Factory leftover 🔥,"100% authentic original product — not replica, fake or first copy.",out of stock,used,3000.00 PKR,https://kicks-kraze.com/product?product_id=6920a61ec3ca912f080a005b,https://kickskraze.b-cdn.net/kickskraze/BByiXxtaCg.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,40
6920a574c3ca912f0809e9b9,6920a574c3ca912f0809e9b9,BAF-CON-46-B00C,GTIN-6920a574c3ca912f0809e9b9,MPN-6920a574c3ca912f0809e9b9,Chuck taylor Black N White Lo Top Ox Sneakers ,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2600.00 PKR,https://kicks-kraze.com/product?product_id=6920a574c3ca912f0809e9b9,https://kickskraze.b-cdn.net/kickskraze/NRlscW58IC.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,46
6920a4f7c3ca912f0809d30e,6920a4f7c3ca912f0809d30e,BAF-CON-41-783E,GTIN-6920a4f7c3ca912f0809d30e,MPN-6920a4f7c3ca912f0809d30e,All Star Converse High Sole Hi Top Cream Color premium 💖,"100% authentic original product — not replica, fake or first copy.",in stock,used,3300.00 PKR,https://kicks-kraze.com/product?product_id=6920a4f7c3ca912f0809d30e,https://kickskraze.b-cdn.net/kickskraze/sOJZBM_PI1.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,41
6920a466c3ca912f0809bc6f,6920a466c3ca912f0809bc6f,BAF-CON-40-BF30,GTIN-6920a466c3ca912f0809bc6f,MPN-6920a466c3ca912f0809bc6f,chuck's 70 Yellow high top 💛,"100% authentic original product — not replica, fake or first copy.",in stock,used,2700.00 PKR,https://kicks-kraze.com/product?product_id=6920a466c3ca912f0809bc6f,https://kickskraze.b-cdn.net/kickskraze/dUyAqkrWKO.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,40
6920a3f9c3ca912f080978b9,6920a3f9c3ca912f080978b9,BAF-CON-43-52C1,GTIN-6920a3f9c3ca912f080978b9,MPN-6920a3f9c3ca912f080978b9,All star ⭐ Converse Hi Top Olive Green ❤️‍🔥,"100% authentic original product — not replica, fake or first copy.",out of stock,used,3000.00 PKR,https://kicks-kraze.com/product?product_id=6920a3f9c3ca912f080978b9,https://kickskraze.b-cdn.net/kickskraze/XE4ABuL8bY.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,43
6920a34ac3ca912f08094b3a,6920a34ac3ca912f08094b3a,BAF-VAN-45-1802,GTIN-6920a34ac3ca912f08094b3a,MPN-6920a34ac3ca912f08094b3a,Vans Denim Blue Lo Top sneakers 💙,"100% authentic original product — not replica, fake or first copy.",in stock,used,2800.00 PKR,https://kicks-kraze.com/product?product_id=6920a34ac3ca912f08094b3a,https://kickskraze.b-cdn.net/kickskraze/IdWw9bfC3H.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,45
6920a2c8c3ca912f08093484,6920a2c8c3ca912f08093484,BAF-VAN-44-EFFD,GTIN-6920a2c8c3ca912f08093484,MPN-6920a2c8c3ca912f08093484,Vans old skool hi sole B&W  🖤🤍,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2800.00 PKR,https://kicks-kraze.com/product?product_id=6920a2c8c3ca912f08093484,https://kickskraze.b-cdn.net/kickskraze/90qzc-pw8-.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,44
6920a241c3ca912f08091dce,6920a241c3ca912f08091dce,BAF-CON-46.5-331A,GTIN-6920a241c3ca912f08091dce,MPN-6920a241c3ca912f08091dce,Converse All star  lo top maroon sneakers 💖,"100% authentic original product — not replica, fake or first copy.",in stock,used,2800.00 PKR,https://kicks-kraze.com/product?product_id=6920a241c3ca912f08091dce,https://kickskraze.b-cdn.net/kickskraze/7KY5wnXQgK.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,46.5
6920a1d3c3ca912f08090730,6920a1d3c3ca912f08090730,BAF-VAN-42.5-7A26,GTIN-6920a1d3c3ca912f08090730,MPN-6920a1d3c3ca912f08090730,van old skool white lo top OX Leather Limited edition ❤️‍🔥🔥,"100% authentic original product — not replica, fake or first copy.",in stock,used,3300.00 PKR,https://kicks-kraze.com/product?product_id=6920a1d3c3ca912f08090730,https://kickskraze.b-cdn.net/kickskraze/BPqFBLFRm_.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,42.5
6920a152c3ca912f0808f081,6920a152c3ca912f0808f081,BAF-VAN-44.5-9C44,GTIN-6920a152c3ca912f0808f081,MPN-6920a152c3ca912f0808f081,Vans atwood lo top grey charcoal 🩶,"100% authentic original product — not replica, fake or first copy.",in stock,used,2799.00 PKR,https://kicks-kraze.com/product?product_id=6920a152c3ca912f0808f081,https://kickskraze.b-cdn.net/kickskraze/58GT8_xPqy.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,44.5
6920a0bfc3ca912f0808d9f0,6920a0bfc3ca912f0808d9f0,BAF-CON-44.5-091E,GTIN-6920a0bfc3ca912f0808d9f0,MPN-6920a0bfc3ca912f0808d9f0,All star  converse lo top  baige ,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2799.00 PKR,https://kicks-kraze.com/product?product_id=6920a0bfc3ca912f0808d9f0,https://kickskraze.b-cdn.net/kickskraze/0ZlAr_SoN_.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,44.5
6920a001c3ca912f0808c37a,6920a001c3ca912f0808c37a,BAF-VAN-43-7795,GTIN-6920a001c3ca912f0808c37a,MPN-6920a001c3ca912f0808c37a,vans lo top blue denim special edition sneakers 💖,"100% authentic original product — not replica, fake or first copy.",in stock,used,2799.00 PKR,https://kicks-kraze.com/product?product_id=6920a001c3ca912f0808c37a,https://kickskraze.b-cdn.net/kickskraze/--nn1yxRU2.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,43
69209f5fc3ca912f0808ad02,69209f5fc3ca912f0808ad02,BAF-CON-44-2209,GTIN-69209f5fc3ca912f0808ad02,MPN-69209f5fc3ca912f0808ad02,converse star player one vision ❤️‍🔥,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2500.00 PKR,https://kicks-kraze.com/product?product_id=69209f5fc3ca912f0808ad02,https://kickskraze.b-cdn.net/kickskraze/0EEtkKq4JM.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,44
69209ea9c3ca912f08089649,69209ea9c3ca912f08089649,BAF-VAN-43-8589,GTIN-69209ea9c3ca912f08089649,MPN-69209ea9c3ca912f08089649,RARE VANS Geometric Lines Aztec stitch Shoes ,"100% authentic original product — not replica, fake or first copy.",out of stock,used,2800.00 PKR,https://kicks-kraze.com/product?product_id=69209ea9c3ca912f08089649,https://kickskraze.b-cdn.net/kickskraze/5jxLCjQ9cT.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,43
69209d50c3ca912f0808520d,69209d50c3ca912f0808520d,BAF-VAN-42.5-F0AC,GTIN-69209d50c3ca912f0808520d,MPN-69209d50c3ca912f0808520d,VansThe Simpsons x SK8-HI MTE 2.0 DX 'Mr. Plow',"100% authentic original product — not replica, fake or first copy.",in stock,used,3700.00 PKR,https://kicks-kraze.com/product?product_id=69209d50c3ca912f0808520d,https://kickskraze.b-cdn.net/kickskraze/8IfSj8w6yE.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,42.5
692099edc3ca912f080828c3,692099edc3ca912f080828c3,BAF-CON-37-31F2,GTIN-692099edc3ca912f080828c3,MPN-692099edc3ca912f080828c3,"Chuck Taylor | Black & White","100% authentic original product — not replica, fake or first copy.",out of stock,used,2299.00 PKR,https://kicks-kraze.com/product?product_id=692099edc3ca912f080828c3,https://kickskraze.b-cdn.net/kickskraze/5pjEqDr266.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,37
69209982c3ca912f0808125c,69209982c3ca912f0808125c,BAF-CON-41.5-7B97,GTIN-69209982c3ca912f0808125c,MPN-69209982c3ca912f0808125c,"Chuck Taylor | Denim Blue | Limited Edition ","100% authentic original product — not replica, fake or first copy.",out of stock,new,3399.00 PKR,https://kicks-kraze.com/product?product_id=69209982c3ca912f0808125c,https://kickskraze.b-cdn.net/kickskraze/STBbN_LG9E.webp,Converse,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,0,unisex,all ages,,41.5
692098efc3ca912f0807fbef,692098efc3ca912f0807fbef,BAF-VAN-46-2C53,GTIN-692098efc3ca912f0807fbef,MPN-692098efc3ca912f0807fbef,"Vans | Old Skool | Blue & White Checkers","100% authentic original product — not replica, fake or first copy.",in stock,new,3299.00 PKR,https://kicks-kraze.com/product?product_id=692098efc3ca912f0807fbef,https://kickskraze.b-cdn.net/kickskraze/DWZnFOlep7.webp,Vans,Apparel & Accessories > Shoes,clothing & accessories > shoes & footwear,1,unisex,all ages,,46
